Name en;Name fr;Name sv;Rune Cost;Force;Endurance;Effect en(string);Effect fr(string);Effect sv(string);Type en;Type fr;Type sv;Effect (json path);Class;Illustration;CollectionID;Target Number;Target Type
Viking;Viking;Viking;1;2;2;When you play this card, deal 1 damage to a target, draw 1 card, gain 1 armor;Quand vous jouez cette carte, vous mettez 1 degat a une cible, piochez 1 carte, gagnez 1 d’armure.;När du spelar detta kort, tillfoga 1 skada på ett mål, dra 1 kort, få 1 rustning;creature;Créature;Varelse;c001.json;common;c001.png;c001;1;[ « creature » | « building » | « hero » ]
Strategist;Stratege;Strateg;0;2;2;When you play this card, you can swap 2 targets on your battlefield;Quand vous jouez cette carte, vous pouvez échanger 2 cibles de votre champ de bataille.;När du spelar detta kort kan du byta plats på 2 mål på ditt slagfält;creature;Créature;Varelse;c002.json;common;c002.png;c002;2;[ « creature » | « building » ]
Soldier;Soldat;Soldat;1;4;4;...;...;...;creature;Créature;Varelse;c003.json;common;c003.png;c003;0;[]
Gothi;Gothi;Gothi;3;4;5;When you play this card, the targeted creature gets -1/-1;Quand vous jouez cette carte, la creature ciblee gagne -1/-1;När du spelar detta kort får den riktade varelsen -1/-1;creature;Créature;Varelse;c004.json;common;c004.png;c004;1;[ « creature » ]
Rune-stone;Pierre Runique;Runsten;2;1;5;At the beginning of your turn, you gain 1 rune;Au debut du tour, vous gagnez 1 rune;När du spelar detta kort får du 1 runa;creature;Créature;Varelse;c005.json;common;c005.png;c005;0;[]
Masochist;Masochiste;Masochist;4;8;8;When you play this card, you lose 8 armor;Quand vous jouez cette carte, vous perdez 8 d’armure;När du spelar detta kort förlorar du 8 rustning;creature;Créature;Varelse;c006.json;common;c006.png;c006;0;[]
Assassin;Assassin;mördare;4;3;2;When you play this card, destroy the targeted creature;Quand vous jouez cette carte, détruisez la créature ciblée;När du spelar detta kort, förstör den riktade varelsen;creature;Créature;Varelse;c007.json;common;c007.png;c007;1;[ « creature » ]
Odin;Odin;Odin;24;1;100;When Odin deals damage, you win the game instantly;Quand Odin inflige des blessures, vous gagnez la partie instantanément;När Odin tillfogar skada vinner du spelet omedelbart;creature;Créature;Varelse;c008.json;common;c008.png;c008;0;[]
Berserk;Berserk;Berserk;5;5;5;When you play this card, destroy a random opposing creature;Quand vous jouez cette carte, detruisez une creature adverse aleatoire;När du spelar detta kort, förstör en slumpmässig fiende-varelse;creature;Créature;Varelse;c009.json;common;c009.png;c009;1;[ « creature » ]
Otta;Otta;Otta;8;8;8;When you play this card, it deals 8 damage to any target;Quand vous jouez cette carte, elle fait 8 blessures a n'importe quelle cible;När du spelar det här kortet gör det 8 skada på vilket mål som helst;creature;Créature;Varelse;c010.json;common;c010.png;c010;1;[ « creature » ]
Colöniel;Colöniel;Colöniel;5;4;5;When you play this card, your creatures get +2/+2;Quand vous jouez cette carte, vos creatures gagnent +2/+2;När du spelar det här kortet får dina varelser +2/+2;creature;Créature;Varelse;c011.json;common;c011.png;c011;1;[ « creature » ]
Nál;Nál;Nál;24;1;100;When Nál deals damage, you win the game instantly;Quand Nál inflige des blessures, vous gagnez la partie instantanément;När Nál tillfogar skada vinner du spelet omedelbart;creature;Créature;Varelse;c012.json;common;c012.png;c012;0;[]
